scheme,distance_0,distance_1,distance_2,distance_3,far,unrelated,precision_at_5,precision_at_10,recall_at_5,f1,ndcg_at_5,avg_query_time
current,1.0,0.8,0.6,0.4,0.2,0.0,0.9866666666666666,0.7166666666666676,0.6853174603174583,0.8082621082621078,0.9858158529443993,0.0008074638944688356
strict,1.0,0.7,0.4,0.2,0.1,0.0,0.9866666666666666,0.7166666666666676,0.6853174603174583,0.8082621082621078,0.9858158529443993,0.0007902661176760578
soft,1.0,0.9,0.75,0.6,0.4,0.0,0.9866666666666666,0.7166666666666676,0.6853174603174583,0.8082621082621078,0.9858158529443993,0.0007922033313661814
steep,1.0,0.6,0.3,0.1,0.05,0.0,0.9866666666666666,0.7166666666666676,0.6853174603174583,0.8082621082621078,0.9858158529443993,0.0008054466640007578
binary_related,1.0,0.5,0.5,0.5,0.5,0.0,0.48888888888888943,0.3116666666666677,0.33333333333333287,0.3960113960113967,0.6172544063955805,0.000807250550456552
